Date,High,Low,Open,Close,Volume,Adj Close
2020-06-30,565.0,548.4000244140625,560.4000244140625,555.5999755859375,1338300.0,555.5999755859375
2020-07-01,611.5999755859375,560.2000122070312,562.7999877929688,610.0,2517874.0,610.0
2020-07-02,645.2000122070312,619.2000122070312,624.4000244140625,630.7999877929688,1848459.0,630.7999877929688
2020-07-03,660.5999755859375,623.0,631.4000244140625,659.2000122070312,1296930.0,659.2000122070312
2020-07-06,671.0,646.4000244140625,670.0,664.0,942301.0,664.0
2020-07-07,677.7999877929688,657.0,665.7999877929688,677.7999877929688,705839.0,677.7999877929688
2020-07-08,683.7999877929688,661.0,678.0,661.0,732182.0,661.0
2020-07-09,683.0,661.0,665.0,669.4000244140625,766958.0,669.4000244140625
2020-07-10,676.5999755859375,662.0,670.2000122070312,662.2000122070312,588072.0,662.2000122070312
2020-07-13,701.0,657.5999755859375,664.0,689.5999755859375,1040788.0,689.5999755859375
2020-07-14,685.5999755859375,672.0,685.4000244140625,680.2000122070312,735344.0,680.2000122070312
2020-07-15,688.4000244140625,668.4000244140625,684.2000122070312,670.0,809990.0,670.0
2020-07-16,684.7999877929688,663.0,670.2000122070312,668.2000122070312,816403.0,668.2000122070312
2020-07-17,693.0,660.5999755859375,692.4000244140625,684.0,1319403.0,684.0
2020-07-20,695.0,677.0,684.4000244140625,695.0,625756.0,695.0
2020-07-21,655.0,624.4000244140625,654.7999877929688,631.0,3286113.0,631.0
2020-07-22,644.5999755859375,626.7999877929688,638.7999877929688,643.5999755859375,1563929.0,643.5999755859375
2020-07-23,648.7999877929688,632.5999755859375,645.2000122070312,645.0,1029121.0,645.0
2020-07-24,634.0,593.2000122070312,634.0,603.0,2170513.0,603.0
2020-07-27,608.4000244140625,584.2000122070312,608.0,592.0,1299382.0,592.0
2020-07-28,593.4000244140625,560.5999755859375,593.4000244140625,580.0,1629507.0,580.0
2020-07-29,604.4000244140625,571.2000122070312,576.0,602.0,1395888.0,602.0
2020-07-30,607.4000244140625,588.7999877929688,605.0,598.7999877929688,999330.0,598.7999877929688
2020-07-31,602.7999877929688,593.2000122070312,600.2000122070312,598.4000244140625,976570.0,598.4000244140625
2020-08-03,640.5999755859375,594.5999755859375,597.2000122070312,638.7999877929688,1068749.0,638.7999877929688
2020-08-04,643.2000122070312,618.2000122070312,643.2000122070312,634.2000122070312,1037486.0,634.2000122070312
2020-08-05,645.2000122070312,629.5999755859375,635.2000122070312,638.4000244140625,679039.0,638.4000244140625
2020-08-06,644.0,630.2000122070312,636.2000122070312,636.0,580030.0,636.0
2020-08-07,641.4000244140625,629.5999755859375,635.0,635.7999877929688,577533.0,635.7999877929688
2020-08-10,636.7999877929688,607.2000122070312,635.7999877929688,608.0,847178.0,608.0
